"s","p","o","mapFile"
"study:AgeOutcome","      owl:allValuesFrom","time:TemporalUnit","study.ttl"
"study:AgeOutcome","      owl:onProperty","code:hasUnit","study.ttl"
"study:AgeOutcome","  skos:altLabel","""""","study.ttl"
"study:AgeOutcome","  skos:prefLabel","""Age""","study.ttl"
"study:Allocation","  rdf:type","owl:Class","study.ttl"
"study:Allocation","  rdfs:comment","""""","study.ttl"
"study:Allocation","  rdfs:subClassOf","study:AdministrativeActivity","study.ttl"
"study:Allocation","  skos:definition","""""","study.ttl"
"study:Allocation","  skos:prefLabel","""Allocation""","study.ttl"
"study:AllocationOutcome","  rdf:type","owl:Class","study.ttl"
"study:AllocationOutcome","  rdfs:subClassOf","study:AdministrativeActivityOutcome","study.ttl"
"study:AllocationOutcome","  skos:altLabel","""""","study.ttl"
"study:AllocationOutcome","  skos:prefLabel","""Allocation outcome""","study.ttl"
"study:Analysis","  rdf:type","owl:Class","study.ttl"
"study:Analysis","  rdfs:comment","""""","study.ttl"
"study:Analysis","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:Analysis","      rdf:type","owl:Restriction","study.ttl"
"study:Analysis","      owl:hasValue","code:Method_DERIVED","study.ttl"
"study:Analysis","      owl:onProperty","code:hasMethod","study.ttl"
"study:Analysis","  skos:definition","""An examination, sometimes via a mathematical manipulation, of one or more observations to obtain a result.""","study.ttl"
"study:Analysis","  skos:note","""The important point here is that data already exist as input to an analysis. No additional data collection on the HumanStudySubject is needed. ""","study.ttl"
"study:Analysis","  skos:prefLabel","""Analysis""","study.ttl"
"study:AnalysisOutcome","  rdf:type","owl:Class","study.ttl"
"study:AnalysisOutcome","  rdfs:subClassOf","study:ActivityOutcome","study.ttl"
"study:AnalysisOutcome","  skos:prefLabel","""Analysis outcome""","study.ttl"
"study:AnatomicLocation","  rdf:type","owl:Class","study.ttl"
"study:AnatomicLocation","  rdfs:subClassOf","study:Entity","study.ttl"
"study:AnatomicLocation","  skos:definition","""The location on the body where an activity/process occurs or an entity is located. ""","study.ttl"
"study:AnatomicLocation","  skos:prefLabel","""Anatomic location""","study.ttl"
"study:AnnotatedCaseReportForm","  rdf:type","owl:Class","study.ttl"
"study:AnnotatedCaseReportForm","  rdfs:subClassOf","study:BlankCaseReportForm","study.ttl"
"study:AnnotatedCaseReportForm","  skos:altLabel","""""","study.ttl"
"study:AnnotatedCaseReportForm","  skos:prefLabel","""Annotated Case Report Form""","study.ttl"
"study:Arm","  rdf:type","owl:Class","study.ttl"
"study:Arm","  rdfs:subClassOf","study:StudyActivity","study.ttl"
"study:Arm","  skos:altLabel","""ARMCD""","study.ttl"
"study:Arm","  skos:definition","""A path though the study which describes what activities the study subject or experimental unit will be involved in as they pass through the study (BRIDG 5.0)""","study.ttl"
"study:Arm","  skos:prefLabel","""ARM""","study.ttl"
"study:Assessment","  rdf:type","owl:Class","study.ttl"
"study:Assessment","  rdfs:comment","""when formalized in a protocol, this is often called an Adjudication process. ""","study.ttl"
"study:Assessment","  rdfs:subClassOf","study:Analysis","study.ttl"
"study:Assessment","      rdf:type","owl:Restriction","study.ttl"
"study:Assessment","      owl:allValuesFrom","study:Assessor","study.ttl"
"study:Assessment","      owl:onProperty","study:hasPerformer","study.ttl"
"study:Assessment","      rdf:type","owl:Restriction","study.ttl"
"study:Assessment","      owl:allValuesFrom","study:MedicalCondition","study.ttl"
"study:Assessment","      owl:onProperty","code:outcome","study.ttl"
"study:Assessment","  skos:definition","""An examination of one or more clinical observations to identify and/or characterize a Medical Condition.""","study.ttl"
"study:Assessment","  skos:prefLabel","""Assessment""","study.ttl"
"study:AssessmentRule","  rdf:type","owl:Class","study.ttl"
"study:AssessmentRule","  rdfs:comment","""""","study.ttl"
"study:AssessmentRule","  rdfs:subClassOf","study:Rule","study.ttl"
"study:AssessmentRule","  skos:definition","""""","study.ttl"
"study:AssessmentRule","  skos:prefLabel","""Assessment rule""","study.ttl"
"study:Assessor","  rdf:type","owl:Class","study.ttl"
"study:Assessor","  rdfs:comment","""""","study.ttl"
"study:Assessor","  rdfs:subClassOf","study:Party","study.ttl"
"study:Assessor","      rdf:type","owl:Restriction","study.ttl"
"study:Assessor","      owl:onProperty","study:performsActivity","study.ttl"
"study:Assessor","      owl:someValuesFrom","study:Assessment","study.ttl"
"study:Assessor","  skos:definition","""A Party that performs an Assessment (See study:Assessment) ""","study.ttl"
"study:Assessor","  skos:prefLabel","""Assessor""","study.ttl"
"study:AssumeBodyPosition","  rdf:type","owl:Class","study.ttl"
"study:AssumeBodyPosition","  rdfs:comment","""""","study.ttl"
"study:AssumeBodyPosition","  rdfs:subClassOf","study:Intervention","study.ttl"
"study:AssumeBodyPosition","  skos:definition","""An Intervention whose intent is to observe the Person's body position and change it to the desired body position, usually in preparation for another intervention.""","study.ttl"
"study:AssumeBodyPosition","  skos:prefLabel","""Assume a specific body position""","study.ttl"
"study:BeginInstant","  rdf:type","owl:Class","study.ttl"
"study:BeginInstant","  rdfs:comment","""""","study.ttl"
"study:BeginInstant","  rdfs:subClassOf","study:Date","study.ttl"
"study:BeginInstant","  skos:definition","""""","study.ttl"
"study:BeginInstant","  skos:prefLabel","""Begin""","study.ttl"
"study:Birthdate","  rdf:type","owl:Class","study.ttl"
"study:Birthdate","  rdfs:comment","""""","study.ttl"
"study:Birthdate","  rdfs:subClassOf","study:BeginInstant","study.ttl"
"study:Birthdate","  skos:definition","""""","study.ttl"
"study:Birthdate","  skos:prefLabel","""Birthdate""","study.ttl"
"study:BlankCaseReportForm","  rdf:type","owl:Class","study.ttl"
"study:BlankCaseReportForm","  rdfs:subClassOf","study:CaseReportForm","study.ttl"
"study:BlankCaseReportForm","  skos:altLabel","""""","study.ttl"
"study:BlankCaseReportForm","  skos:prefLabel","""Blank case report form""","study.ttl"
"study:BloodPressureOutcome","  rdf:type","owl:Class","study.ttl"
"study:BloodPressureOutcome","  rdfs:subClassOf","study:NumericOutcome","study.ttl"
"study:BloodPressureOutcome","  rdfs:subClassOf","study:VitalSignOutcome","study.ttl"
"study:BloodPressureOutcome","      rdf:type","owl:Restriction","study.ttl"
"study:BloodPressureOutcome","      owl:hasValue","code:Unit_mmHG","study.ttl"
"study:BloodPressureOutcome","      owl:onProperty","code:hasUnit","study.ttl"
"study:BloodPressureOutcome","  skos:altLabel","""""","study.ttl"
"study:BloodPressureOutcome","  skos:prefLabel","""Blood pressure outcome""","study.ttl"
"study:BodyPosition","  rdf:type","owl:Class","study.ttl"
"study:BodyPosition","  rdfs:subClassOf","study:InterventionOutcome","study.ttl"
"study:BodyPosition","  skos:prefLabel","""Body position""","study.ttl"
"study:CRFLocation","  rdf:type","owl:Class","study.ttl"
"study:CRFLocation","  rdfs:subClassOf","study:Entity","study.ttl"
"study:CRFLocation","  skos:definition","""A portion of the case report form; usually a location or page number in the CRF where a particular piece of information is located.""","study.ttl"
"study:CRFLocation","  skos:prefLabel","""CRFComponent""","study.ttl"
"study:CaseReportForm","  rdf:type","owl:Class","study.ttl"
"study:CaseReportForm","  rdfs:subClassOf","study:Document","study.ttl"
"study:CaseReportForm","  skos:altLabel","""""","study.ttl"
"study:CaseReportForm","  skos:prefLabel","""Case report form""","study.ttl"
"study:CategoricalOutcome","  rdf:type","owl:Class","study.ttl"
"study:CategoricalOutcome","  rdfs:subClassOf","study:ObservationOutcome","study.ttl"
"study:Category","  rdf:type","owl:Class","study.ttl"
"study:Category","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Category","  skos:altLabel","""""","study.ttl"
"study:Category","  skos:prefLabel","""Category""","study.ttl"
"study:Country","  rdf:type","owl:Class","study.ttl"
"study:Country","  rdfs:subClassOf","study:Entity","study.ttl"
"study:Country","  skos:prefLabel","""Country""","study.ttl"
"study:CumulativeDrugAdministration","  rdf:type","owl:Class","study.ttl"
"study:CumulativeDrugAdministration","  rdfs:comment","""""","study.ttl"
"study:CumulativeDrugAdministration","  rdfs:subClassOf","study:Intervention","study.ttl"
"study:CumulativeDrugAdministration","  skos:definition","""The act of administering/taking a Drug Product over time; there may be breaks or the dose may change  over time""","study.ttl"
"study:CumulativeDrugAdministration","  skos:prefLabel","""Product administration""","study.ttl"
"study:CumulativeDrugAdministrationBegin","  rdf:type","owl:Class","study.ttl"
"study:CumulativeDrugAdministrationBegin","  rdfs:comment","""""","study.ttl"
"study:CumulativeDrugAdministrationBegin","  rdfs:subClassOf","study:ActivityBegin","study.ttl"
"study:CumulativeDrugAdministrationBegin","  skos:definition","""""","study.ttl"
"study:CumulativeDrugAdministrationBegin","  skos:prefLabel","""Product administration begin""","study.ttl"
"study:CumulativeDrugAdministrationEnd","  rdf:type","owl:Class","study.ttl"
"study:CumulativeDrugAdministrationEnd","  rdfs:comment","""""","study.ttl"
"study:CumulativeDrugAdministrationEnd","  rdfs:subClassOf","study:ActivityEnd","study.ttl"
"study:CumulativeDrugAdministrationEnd","  skos:definition","""""","study.ttl"
"study:CumulativeDrugAdministrationEnd","  skos:prefLabel","""Product administration end""","study.ttl"
"study:CumulativeDrugAdministrationInterval","  rdf:type","owl:Class","study.ttl"
"study:CumulativeDrugAdministrationInterval","      rdf:type","sp:Construct","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""d1""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","time:hasBeginning","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:subject","spin:_this","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""d2""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","time:hasEnd","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:subject","spin:_this","study.ttl"
"study:CumulativeDrugAdministrationInterval","            rdf:type","sp:SubQuery","study.ttl"
"study:CumulativeDrugAdministrationInterval","                rdf:type","sp:Select","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:varName","""s""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:varName","""s""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          rdf:type","sp:Min","study.ttl"
"study:CumulativeDrugAdministrationInterval","                              sp:varName","""startdate""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:varName","""rxs""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          rdf:type","sp:Max","study.ttl"
"study:CumulativeDrugAdministrationInterval","                              sp:varName","""enddate""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:varName","""rxe""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:object","study:HumanStudySubject","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","rdf:type","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""s""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""fda""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","study:participatesIn","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""s""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:object","study:FixedDoseDrugAdministration","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","rdf:type","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""fda""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""fdi""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","study:hasInterval","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""fda""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""start""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","time:hasBeginning","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""fdi""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""end""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","time:hasEnd","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""fdi""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""sstart""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","study:dateTimeInXSDString","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""start""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""send""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      sp:predicate","study:dateTimeInXSDString","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""end""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      rdf:type","sp:Bind","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          rdf:type","xsd:string","study.ttl"
"study:CumulativeDrugAdministrationInterval","                              sp:varName","""sstart""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""startdate""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                      rdf:type","sp:Bind","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          rdf:type","xsd:string","study.ttl"
"study:CumulativeDrugAdministrationInterval","                              sp:varName","""send""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                          sp:varName","""enddate""","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""padmin""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","study:participatesIn","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""s""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:object","study:CumulativeDrugAdministration","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","rdf:type","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""padmin""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:object","spin:_this","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","study:hasInterval","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""padmin""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:object","study:CumulativeDrugAdministrationInterval","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","rdf:type","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:subject","spin:_this","study.ttl"
"study:CumulativeDrugAdministrationInterval","                sp:varName","""rxs""","study.ttl"
"study:CumulativeDrugAdministrationInterval","            sp:predicate","study:dateTimeInXSDString","study.ttl"
