fromDomain,subject,toRange,typeClass,typeProp,label
study:AnalysisOutcome,owl:subClassOf,study:ActivityOutcome,,1,"""Analysis outcome"""
,study:AnatomicLocation,,1,,"""Anatomic location"""
study:AnatomicLocation,owl:subClassOf,study:Entity,,1,"""Anatomic location"""
,study:AnnotatedCaseReportForm,,1,,"""Annotated Case Report Form"
study:AnnotatedCaseReportForm,owl:subClassOf,study:BlankCaseReportForm,,1,"""Annotated Case Report Form"
,study:Arm,,1,,"""ARM"""
study:Arm,owl:subClassOf,study:StudyActivity,,1,"""ARM"""
,study:Assessment,,1,,"""Assessment"""
study:Assessment,owl:subClassOf,study:Analysis,,1,"""Assessment"""
,study:AssessmentRule,,1,,"""Assessment rule"""
study:AssessmentRule,owl:subClassOf,study:Rule,,1,"""Assessment rule"""
,study:Assessor,,1,,"""Assessor"""
study:Assessor,owl:subClassOf,study:Party,,1,"""Assessor"""
,study:AssumeBodyPosition,,1,,"""Assume a specific body pos"
study:AssumeBodyPosition,owl:subClassOf,study:Intervention,,1,"""Assume a specific body pos"
,study:BeginInstant,,1,,"""Begin"""
study:BeginInstant,owl:subClassOf,study:Date,,1,"""Begin"""
,study:Birthdate,,1,,"""Birthdate"""
study:Birthdate,owl:subClassOf,study:BeginInstant,,1,"""Birthdate"""
,study:BlankCaseReportForm,,1,,"""Blank case report form"""
study:BlankCaseReportForm,owl:subClassOf,study:CaseReportForm,,1,"""Blank case report form"""
,study:BloodPressureOutcome,,1,,"""Blood pressure outcome"""
study:BloodPressureOutcome,owl:subClassOf,study:NumericOutcome#study:VitalSignOutcome,,1,"""Blood pressure outcome"""
,study:BodyPosition,,1,,"""Body position"""
study:BodyPosition,owl:subClassOf,study:InterventionOutcome,,1,"""Body position"""
,study:CRFLocation,,1,,"""CRFComponent"""
study:CRFLocation,owl:subClassOf,study:Entity,,1,"""CRFComponent"""
,study:CaseReportForm,,1,,"""Case report form"""
study:CaseReportForm,owl:subClassOf,study:Document,,1,"""Case report form"""
,study:CategoricalOutcome,,1,,
study:CategoricalOutcome,owl:subClassOf,study:ObservationOutcome,,1,
,study:Category,,1,,"""Category"""
study:Category,owl:subClassOf,study:Entity,,1,"""Category"""
,study:Country,,1,,"""Country"""
study:Country,owl:subClassOf,study:Entity,,1,"""Country"""
,study:CumulativeDrugAdministration,,1,,"""Product administration"""
study:CumulativeDrugAdministration,owl:subClassOf,study:Intervention,,1,"""Product administration"""
,study:CumulativeDrugAdministrationBegin,,1,,"""Product administration beg"
study:CumulativeDrugAdministrationBegin,owl:subClassOf,study:ActivityBegin,,1,"""Product administration beg"
,study:CumulativeDrugAdministrationEnd,,1,,"""Product administration end"
study:CumulativeDrugAdministrationEnd,owl:subClassOf,study:ActivityEnd,,1,"""Product administration end"
,study:CumulativeDrugAdministrationInterval,,1,,"""Product administration int"
study:CumulativeDrugAdministrationInterval,owl:subClassOf,study:ActivityInterval,,1,"""Product administration int"
,study:Date,,1,,"""Date"""
study:Date,owl:subClassOf,time:Instant,,1,"""Date"""
,study:DeathFlag,,1,,"""Death flag"""
study:DeathFlag,owl:subClassOf,study:Flag,,1,"""Death flag"""
,study:Deathdate,,1,,"""Deathdate"""
study:Deathdate,owl:subClassOf,study:EndInstant,,1,"""Deathdate"""
,study:DemogDataCollectionDate,,1,,"""Demog data collect begin"""
study:DemogDataCollectionDate,owl:subClassOf,study:ActivityDate,,1,"""Demog data collect begin"""
,study:Derivation,,1,,"""Derivation"""
study:Derivation,owl:subClassOf,study:Analysis,,1,"""Derivation"""
,study:Document,,1,,"""Document"""
study:Document,owl:subClassOf,study:Entity,,1,"""Document"""
,study:DrugAdministrationOutcome,,1,,"""Drug administration outcom"
study:DrugAdministrationOutcome,owl:subClassOf,study:ActivityOutcome,,1,"""Drug administration outcom"
,study:EligibilityCriteria,,1,,"""Eligibility criteria"""
study:EligibilityCriteria,owl:subClassOf,study:Rule,,1,"""Eligibility criteria"""
,study:EligibleSubject,,1,,"""Eligible subject"""
study:EligibleSubject,owl:subClassOf,study:HumanStudySubject,,1,"""Eligible subject"""
,study:EndInstant,,1,,"""End"""
study:EndInstant,owl:subClassOf,time:Instant,,1,"""End"""
,study:EnrolledSubject,,1,,"""Enrolled subject"""
study:EnrolledSubject,owl:subClassOf,study:HumanStudySubject,,1,"""Enrolled subject"""
,study:Entity,,1,,"""Entity"""
study:Entity,owl:subClassOf,study:StudyComponent,,1,"""Entity"""
,study:EthnicOutcome,,1,,"""Ethnic outcome"""
study:EthnicOutcome,owl:subClassOf,study:CategoricalOutcome,,1,"""Ethnic outcome"""
,study:Evaluator,,1,,"""QEVAL"""
study:Evaluator,owl:subClassOf,study:Party,,1,"""QEVAL"""
,study:Event,,1,,"""Event"""
study:Event,owl:subClassOf,study:Entity,,1,"""Event"""
,study:FixedDoseDrugAdministration,,1,,"""Fixed Dose Drug administra"
study:FixedDoseDrugAdministration,owl:subClassOf,study:Intervention,,1,"""Fixed Dose Drug administra"
,study:FixedDoseInterval,,1,,"""Fixed dose interval"""
study:FixedDoseInterval,owl:subClassOf,study:ActivityInterval,,1,"""Fixed dose interval"""
,study:FixedDoseIntervalBegin,,1,,"""Fixed dose interval begin"""
study:FixedDoseIntervalBegin,owl:subClassOf,study:ActivityBegin,,1,"""Fixed dose interval begin"""
,study:FixedDoseIntervalEnd,,1,,"""Fixed dose interval end"""
study:FixedDoseIntervalEnd,owl:subClassOf,study:ActivityEnd,,1,"""Fixed dose interval end"""
,study:Flag,,1,,"""Flag"""
study:Flag,owl:subClassOf,study:Derivation,,1,"""Flag"""
,study:HeightOutcome,,1,,"""Height length outcome"""
study:HeightOutcome,owl:subClassOf,study:NumericOutcome#study:VitalSignOutcome,,1,"""Height length outcome"""
,study:HumanStudySubject,,1,,"""Human study subject"""
study:HumanStudySubject,owl:subClassOf,study:HumanSubject,,1,"""Human study subject"""
,study:HumanSubject,,1,,"""Human subject"""
study:HumanSubject,owl:subClassOf,study:Person,,1,"""Human subject"""
,study:Identifier,,1,,"""Identifier"""
study:Identifier,owl:subClassOf,study:Entity,,1,"""Identifier"""
,study:Indication,,1,,"""Indication"""
study:Indication,owl:subClassOf,study:MedicalCondition,,1,"""Indication"""
,study:InformedConsent,,1,,"""Informed consent"""
study:InformedConsent,owl:subClassOf,study:AdministrativeActivit,,1,"""Informed consent"""
,study:InformedConsentBegin,,1,,"""Informed consent begin"""
study:InformedConsentBegin,owl:subClassOf,study:ActivityBegin,,1,"""Informed consent begin"""
,study:InformedConsentEnd,,1,,"""Informed consent end"""
study:InformedConsentEnd,owl:subClassOf,study:ActivityEnd,,1,"""Informed consent end"""
,study:InformedConsentInterval,,1,,"""Informed consent interval"""
study:InformedConsentInterval,owl:subClassOf,study:ActivityInterval,,1,"""Informed consent interval"""
,study:InformedConsentOutcome,,1,,"""Informed consent outcome"""
study:InformedConsentOutcome,owl:subClassOf,study:AdministrativeActivit,,1,"""Informed consent outcome"""
,study:Intervention,,1,,"""Intervention"""
study:Intervention,owl:subClassOf,study:StudyActivity,,1,"""Intervention"""
,study:InterventionDate,,1,,"""Intervention date"""
study:InterventionDate,owl:subClassOf,study:ActivityDate,,1,"""Intervention date"""
,study:InterventionOutcome,,1,,"""Intervention outcome"""
study:InterventionOutcome,owl:subClassOf,study:ActivityOutcome,,1,"""Intervention outcome"""
,study:InvestigationalProduct,,1,,"""Investigational product"""
study:InvestigationalProduct,owl:subClassOf,study:ActiveProduct,,1,"""Investigational product"""
,study:InvestigationalSubstance,,1,,"""Investigational substance"""
study:InvestigationalSubstance,owl:subClassOf,study:Substance,,1,"""Investigational substance"""
,study:Investigator,,1,,"""Investigator"""
study:Investigator,owl:subClassOf,study:ResearchStaff,,1,"""Investigator"""
,study:InvestigatorIdentifier,,1,,"""Investigator identifier"""
study:InvestigatorIdentifier,owl:subClassOf,study:Identifier,,1,"""Investigator identifier"""
,study:LaboratoryObservation,,1,,"""Laboratory observation"""
study:LaboratoryObservation,owl:subClassOf,study:Observation,,1,"""Laboratory observation"""
,study:Lifespan,,1,,"""Lifespan"""
study:Lifespan,owl:subClassOf,time:Interval,,1,"""Lifespan"""
,study:MedicalCondition,,1,,"""Medical condition"""
study:MedicalCondition,owl:subClassOf,study:Event,,1,"""Medical condition"""
,study:NumericOutcome,,1,,
study:NumericOutcome,owl:subClassOf,study:ObservationOutcome,,1,
,study:Observation,,1,,"""Observation"""
study:Observation,owl:subClassOf,study:Intervention,,1,"""Observation"""
,study:ObservationEndDate,,1,,"""Observation end date"""
study:ObservationEndDate,owl:subClassOf,study:ActivityEnd,,1,"""Observation end date"""
,study:ObservationOutcome,,1,,"""Observation outcome"""
study:ObservationOutcome,owl:subClassOf,study:InterventionOutcome,,1,"""Observation outcome"""
,study:Organization,,1,,"""Organization"""
study:Organization,owl:subClassOf,study:Party,,1,"""Organization"""
,study:Party,,1,,"""Party"""
study:Party,owl:subClassOf,study:Entity,,1,"""Party"""
,study:PerformedActivity,,1,,"""Performed activity"""
study:PerformedActivity,owl:subClassOf,study:StudyActivity,,1,"""Performed activity"""
,study:PerformedActivityDate,,1,,"""Performed activity date"""
study:PerformedActivityDate,owl:subClassOf,study:ActivityDate,,1,"""Performed activity date"""
,study:Person,,1,,"""Person"""
study:Person,owl:subClassOf,study:Party,,1,"""Person"""
,study:PlaceboProduct,,1,,"""Placebo product"""
study:PlaceboProduct,owl:subClassOf,study:Product,,1,"""Placebo product"""
,study:PlannedActivity,,1,,"""Planned activity"""
study:PlannedActivity,owl:subClassOf,study:StudyActivity,,1,"""Planned activity"""
,study:PopulationFlag,,1,,"""Population flag"""
study:PopulationFlag,owl:subClassOf,study:Flag,,1,"""Population flag"""
,study:PrerequisiteActivity,,1,,"""Anchor / Time Point Refere"
study:PrerequisiteActivity,owl:subClassOf,study:StudyActivity,,1,"""Anchor / Time Point Refere"
,study:Product,,1,,"""Product"""
study:Product,owl:subClassOf,study:Entity,,1,"""Product"""
,study:ProtocolDocument,,1,,"""Protocol document"""
study:ProtocolDocument,owl:subClassOf,study:Document,,1,"""Protocol document"""
,study:ProtocolSpecifiedActivity,,1,,"""Protocol specified activit"
study:ProtocolSpecifiedActivity,owl:subClassOf,study:StudyActivity,,1,"""Protocol specified activit"
,study:PulseOutcome,,1,,"""Pulse or Heart Rate outcom"
study:PulseOutcome,owl:subClassOf,study:NumericOutcome#study:VitalSignOutcome,,1,"""Pulse or Heart Rate outcom"
,study:RaceOutcome,,1,,"""Race outcome"""
study:RaceOutcome,owl:subClassOf,study:CategoricalOutcome,,1,"""Race outcome"""
,study:Randomization,,1,,"""Randomization"""
study:Randomization,owl:subClassOf,study:Allocation,,1,"""Randomization"""
,study:RandomizationOutcome,,1,,"""Randomization outcome"""
study:RandomizationOutcome,owl:subClassOf,study:AllocationOutcome,,1,"""Randomization outcome"""
,study:ReferenceBegin,,1,,"""Reference start date"""
study:ReferenceBegin,owl:subClassOf,study:BeginInstant,,1,"""Reference start date"""
,study:ReferenceEnd,,1,,"""Reference end date"""
study:ReferenceEnd,owl:subClassOf,study:EndInstant,,1,"""Reference end date"""
,study:ReferenceInterval,,1,,"""Reference interval"""
study:ReferenceInterval,owl:subClassOf,time:Interval,,1,"""Reference interval"""
,study:ResearchStaff,,1,,"""Research staff"""
study:ResearchStaff,owl:subClassOf,study:Person,,1,"""Research staff"""
,study:Rule,,1,,"""Rule"""
study:Rule,owl:subClassOf,study:Analysis,,1,"""Rule"""
,study:RuleOutcome,,1,,"""Rule outcome"""
study:RuleOutcome,owl:subClassOf,study:AnalysisOutcome,,1,"""Rule outcome"""
,study:ScheduledActivity,,1,,"""Scheduled activity"""
study:ScheduledActivity,owl:subClassOf,study:StudyActivity,,1,"""Scheduled activity"""
,study:ScheduledActivityDate,,1,,"""Scheduled activity date"""
study:ScheduledActivityDate,owl:subClassOf,study:ActivityDate,,1,"""Scheduled activity date"""
,study:SexOutcome,,1,,"""Sex outcome"""
study:SexOutcome,owl:subClassOf,study:CategoricalOutcome,,1,"""Sex outcome"""
,study:Site,,1,,"""Site"""
study:Site,owl:subClassOf,study:Organization,,1,"""Site"""
,study:SiteIdentifier,,1,,"""Site identifier"""
study:SiteIdentifier,owl:subClassOf,study:Identifier,,1,"""Site identifier"""
,study:Sponsor,,1,,"""Sponsor"""
study:Sponsor,owl:subClassOf,study:Organization,,1,"""Sponsor"""
,study:StartRule,,1,,"""Start rule"""
study:StartRule,owl:subClassOf,study:Rule,,1,"""Start rule"""
,study:StartRuleComposite,,1,,"""Start rule composite"""
study:StartRuleComposite,owl:subClassOf,study:StartRule,,1,"""Start rule composite"""
,study:StartRuleDefault,,1,,"""Start rule default"""
study:StartRuleDefault,owl:subClassOf,study:StartRuleSimple,,1,"""Start rule default"""
,study:StartRuleInformedConsentGranted,,1,,"""RULE INFORMED CONSENT GRAN"
study:StartRuleInformedConsentGranted,owl:subClassOf,study:StartRulePrereqActivi,,1,"""RULE INFORMED CONSENT GRAN"
,study:StartRuleInformedConsentStart,,1,,"""Start rule informed consen"
study:StartRuleInformedConsentStart,owl:subClassOf,study:StartRulePrereqActivi,,1,"""Start rule informed consen"
,study:StartRulePrereqActivityComplete,,1,,"""Start rule prereq activity"
study:StartRulePrereqActivityComplete,owl:subClassOf,study:StartRulePrerequisite,,1,"""Start rule prereq activity"
,study:StartRulePrereqActivityOutcome,,1,,"""Start rule prereq activity"
study:StartRulePrereqActivityOutcome,owl:subClassOf,study:StartRulePrereqActivi,,1,"""Start rule prereq activity"
,study:StartRulePrereqActivityStart,,1,,"""Start rule prereq activity"
study:StartRulePrereqActivityStart,owl:subClassOf,study:StartRulePrerequisite,,1,"""Start rule prereq activity"
,study:StartRulePrerequisiteActivity,,1,,
study:StartRulePrerequisiteActivity,owl:subClassOf,study:StartRuleSimple,,1,
,study:StartRuleSimple,,1,,
study:StartRuleSimple,owl:subClassOf,study:StartRule,,1,
,study:Study,,1,,"""Study"""
study:Study,owl:subClassOf,study:Activity,,1,"""Study"""
,study:StudyActivity,,1,,"""Activity"""
study:StudyActivity,owl:subClassOf,study:Activity,,1,"""Activity"""
,study:StudyComponent,,1,,"""Study component"""
,study:StudyIdentifier,,1,,"""Study identifier"""
study:StudyIdentifier,owl:subClassOf,study:Identifier,,1,"""Study identifier"""
,study:StudyParticipationBegin,,1,,"""Study participation begin"""
study:StudyParticipationBegin,owl:subClassOf,study:BeginInstant,,1,"""Study participation begin"""
,study:StudyParticipationEnd,,1,,"""Study participation end"""
study:StudyParticipationEnd,owl:subClassOf,study:EndInstant,,1,"""Study participation end"""
,study:StudyParticipationInterval,,1,,"""Study participation interv"
study:StudyParticipationInterval,owl:subClassOf,time:Interval,,1,"""Study participation interv"
,study:Subcategory,,1,,"""Subcategory"""
study:Subcategory,owl:subClassOf,study:Entity,,1,"""Subcategory"""
,study:SubjectIdentifier,,1,,"""Subject identifier"""
study:SubjectIdentifier,owl:subClassOf,study:Identifier,,1,"""Subject identifier"""
,study:Substance,,1,,"""Substance"""
study:Substance,owl:subClassOf,study:Entity,,1,"""Substance"""
,study:SubstanceQuantity,,1,,"""Substance quantity"""
study:SubstanceQuantity,owl:subClassOf,study:Entity,,1,"""Substance quantity"""
,study:TemperatureOutcome,,1,,"""Temperature outcome"""
study:TemperatureOutcome,owl:subClassOf,study:NumericOutcome#study:VitalSignOutcome,,1,"""Temperature outcome"""
,study:UniqueSubjectIdentifier,,1,,"""Unique subject identifier"""
study:UniqueSubjectIdentifier,owl:subClassOf,study:Identifier,,1,"""Unique subject identifier"""
,study:UnscheduledVisitActivity,,1,,"""UNSCHEDULED VISIT ACTIVITY"
study:UnscheduledVisitActivity,owl:subClassOf,study:VisitActivity,,1,"""UNSCHEDULED VISIT ACTIVITY"
,study:Visit,,1,,"""VISIT"""
study:Visit,owl:subClassOf,study:StudyActivity,,1,"""VISIT"""
,study:VisitActivity,,1,,"""Visit Activity"""
study:VisitActivity,owl:subClassOf,study:StudyActivity,,1,"""Visit Activity"""
,study:VisitDate,,1,,"""Visit begin"""
study:VisitDate,owl:subClassOf,study:ActivityDate,,1,"""Visit begin"""
,study:VitalSign,,1,,"""VitalSign"""
study:VitalSign,owl:subClassOf,study:Observation,,1,"""VitalSign"""
,study:VitalSignOutcome,,1,,"""Vital sign outcome"""
study:VitalSignOutcome,owl:subClassOf,study:ObservationOutcome,,1,"""Vital sign outcome"""
,study:WeightOutcome,,1,,"""Weight mass outcome"""
study:WeightOutcome,owl:subClassOf,study:NumericOutcome#study:VitalSignOutcome,,1,"""Weight mass outcome"""
study:StudyActivity,study:activityStatus,study:ActivityStatus,,1,"""activity status"""
study:EnrolledSubject,study:actualArm,study:Arm,,1,"""actual arm"""
study:FixedDoseDrugAdminist,study:administeredDrug,study:Product,,1,"""has route of administratio"
study:Observation,study:anatomicLocation,code:AnatomicLocation,,1,"""anatomic location"""
study:Observation,study:baselineFlag,xsd:string,,1,"""baseline flag"""
study:Observation,study:bodyPosition,code:BodyPosition,,1,"""body position"""
study:StudyComponent,study:crfLocation,study:CRFLocation,,1,"""CRF Origin"""
time:Instant,study:dateTimeInXSDString,,,1,
study:Person,study:deathFlag,xsd:string,,1,"""death flag"""
study:StudyActivity,study:derivedFlag,xsd:string,,1,"""derived flag"""
study:Party,study:engagesIn,study:StudyActivity,,1,"""has activity"""
study:Person,study:ethnicity,study:EthnicOutcome,,1,"""ethnicity"""
study:StudyActivity,study:groupID,xsd:string,,1,"""group ID"""
study:StudyActivity,study:hasActivityInterval,study:ActivityInterval,,1,"""has activity interval"""
study:Study,study:hasAnnotatedCRF,study:AnnotatedCaseReportFo,,1,"""has annotated CRF"""
study:StudyActivity,study:hasCategory,study:Category,,1,"""has category"""
study:Site,study:hasCountry,code:Country,,1,"""country"""
study:Activity,study:hasDate,time:Instant,,1,"""has date"""
study:Rule,study:hasDelay,xsd:duration,,1,"""has delay"""
,study:hasDocument,study:Document,,1,"""has document"""
study:FixedDoseDrugAdminist,study:hasDosageFrequency,code:DosageFrequency,,1,"""has dosage frequency"""
,study:hasIdentifier,,,1,
study:StudyComponent,study:hasInterval,time:Interval,,1,"""has interval"""
study:Site,study:hasInvestigator,study:Investigator,,1,"""has investigator"""
study:Investigator,study:hasInvestigatorID,study:InvestigatorIdentifie,,1,"""has investigator ID"""
study:Person,study:hasLastName,xsd:string,,1,"""has last name"""
study:Person,study:hasLifespan,study:Lifespan,,1,"""has lifespan"""
,study:hasNullFlavor,code:NullFlavor,,1,"""has null flavor"""
study:StudyActivity,study:hasParticipant,study:HumanStudySubject,,1,"""has study participant"""
study:PerformedActivity,study:hasPerformedDate,study:PerformedActivityDate,,1,"""Object property 1"""
study:StudyActivity,study:hasPerformer,study:Party,,1,"""has performer"""
study:Rule,study:hasPrereqExpectedOutcome,study:ActivityOutcome,,1,"""has anchor outcome"""
study:Rule,study:hasPrereqExpectedStatus,code:ActivityStatus,,1,"""has prereq expected status"
study:Rule,study:hasPrerequisite,study:StudyActivity,,1,"""has Prerequisite"""
study:Study,study:hasProtocolSpecifiedActivity,study:ProtocolSpecifiedActi,,1,"""has protocol specified act"
study:HumanStudySubject,study:hasReferenceInterval,study:ReferenceInterval,,1,"""has lifespan"""
study:FixedDoseDrugAdminist,study:hasRouteOfAdministration,code:RouteOfAdministration,,1,"""has route of administratio"
study:ScheduledActivity,study:hasScheduledDate,study:ScheduledActivityDate,,1,"""has planned date"""
study:HumanStudySubject,study:hasSite,study:Site,,1,"""has Site"""
study:Site,study:hasSiteID,study:SiteIdentifier,,1,"""has site ID"""
study:StudyActivity,study:hasStartRule,study:Rule,,1,"""has start rule"""
study:Study,study:hasStudyActivity,study:StudyActivity,,1,"""has study activity"""
study:Study,study:hasStudyID,study:StudyIdentifier,,1,"""has study ID"""
study:Study,study:hasStudyParticipant,study:HumanStudySubject,,1,"""has study participant"""
study:HumanStudySubject,study:hasStudyParticipationInterval,study:StudyParticipationInt,,1,"""has study participation in"
study:StudyActivity,study:hasSubActivity,study:StudyActivity,,1,"""has sub activity"""
,study:hasSubRule,,,1,
study:StudyActivity,study:hasSubcategory,study:Subcategory,,1,"""has subcategory"""
study:Person,study:hasSubjectID,study:SubjectIdentifier,,1,"""has unique subject ID"""
study:Person,study:hasUniqueSubjectID,study:UniqueSubjectIdentifi,,1,"""has unique subject ID"""
,study:isActivityOfStudy,study:Study,,1,"""is part of"""
study:StudyActivity,study:isSubActivityOf,study:StudyActivity,,1,"""is sub activity of"""
study:StudyActivity,study:laterality,code:Laterality,,1,"""laterality"""
study:Person,study:participatesIn,study:StudyActivity,,1,"""participates in"""
study:HumanStudySubject,study:participatesInStudy,study:Study,,1,"""participates in study"""
study:Party,study:performsActivity,study:StudyActivity,,1,"""performs activity"""
study:Person,study:race,study:RaceOutcome,,1,"""race"""
study:StudyActivity,study:reasonNotDone,xsd:string,,1,"""reason not done"""
study:Rule,study:ruleDescription,xsd:string,,1,"""rule description"""
study:Rule,study:ruleDescriptionLong,xsd:string,,1,"""rule description long"""
,study:seq,xsd:float,,1,"""seq"""
study:Person,study:sex,study:SexOutcome,,1,"""sex"""
study:StudyActivity,study:sponsordefinedID,xsd:string,,1,"""sponsordefined ID"""
