"","s","p","o","mapFile"
"85","code:AgeGroup","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"86","code:AgeGroup","  skos:prefLabel","""Age group""","code.ttl"
"87","code:AgeGroup_ADULT","  rdf:type","code:AgeGroup","code.ttl"
"88","code:AgeGroup_ADULT","  skos:prefLabel","""ADULT (18-65)""","code.ttl"
"89","code:AgeGroup_ELDERLY","  rdf:type","code:AgeGroup","code.ttl"
"90","code:AgeGroup_ELDERLY","  skos:prefLabel","""ELDERLY (>65)""","code.ttl"
"91","code:AgeUnit","  rdf:type","owl:Class","code.ttl"
"92","code:AgeUnit","  rdfs:subClassOf","code:Unit","code.ttl"
"93","code:AgeUnit","  skos:prefLabel","""AGEU""","code.ttl"
"94","code:Analysis","  rdf:type","owl:Class","code.ttl"
"95","code:Analysis","  rdfs:comment","""""","code.ttl"
"96","code:Analysis","  rdfs:subClassOf","code:DefinedActivity","code.ttl"
"97","code:Analysis","  skos:definition","""""","code.ttl"
"98","code:Analysis","  skos:prefLabel","""Analysis term""","code.ttl"
"99","code:AnatomicLocation","  rdf:type","owl:Class","code.ttl"
"100","code:AnatomicLocation","  rdfs:comment","""""","code.ttl"
"101","code:AnatomicLocation","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"102","code:AnatomicLocation","  skos:definition","""""","code.ttl"
"103","code:AnatomicLocation","  skos:prefLabel","""Anatomic location term""","code.ttl"
"104","code:Arm","  rdf:type","code:AnatomicLocation","code.ttl"
"105","code:Arm","  rdf:type","mms:PermissibleValue","code.ttl"
"106","code:Arm","  skos:prefLabel","""ARM""","code.ttl"
"107","code:Arm","  schema:cdiscDefinition","""The portion of the upper extremity between the shoulder and the elbow. For clinical purposes this term is also used to refer to the whole superior limb. (NCI)""","code.ttl"
"108","code:Arm","  schema:cdiscSubmissionValue","""ARM""","code.ttl"
"109","code:Arm","  schema:cdiscSynonyms","""Arm""","code.ttl"
"110","code:Arm","  schema:nciCode","""C32141""","code.ttl"
"111","code:Arm","  schema:nciPreferredTerm","""Arm""","code.ttl"
"112","code:Arm","  mms:inValueDomain","sdtmterm:C74456","code.ttl"
"113","code:Assessment","  rdf:type","owl:Class","code.ttl"
"114","code:Assessment","  rdfs:comment","""""","code.ttl"
"115","code:Assessment","  rdfs:subClassOf","code:Analysis","code.ttl"
"116","code:Assessment","      rdf:type","owl:Restriction","code.ttl"
"117","code:Assessment","      owl:allValuesFrom","code:MedicalCondition","code.ttl"
"118","code:Assessment","      owl:onProperty","code:outcome","code.ttl"
"119","code:Assessment","  skos:definition","""""","code.ttl"
"120","code:Assessment","  skos:prefLabel","""Assessment term""","code.ttl"
"121","code:AssumeBodyPosition","  rdf:type","owl:Class","code.ttl"
"122","code:AssumeBodyPosition","  rdfs:comment","""""","code.ttl"
"123","code:AssumeBodyPosition","  rdfs:subClassOf","code:Intervention","code.ttl"
"124","code:AssumeBodyPosition","      rdf:type","owl:Restriction","code.ttl"
"125","code:AssumeBodyPosition","      owl:allValuesFrom","code:BodyPosition","code.ttl"
"126","code:AssumeBodyPosition","      owl:onProperty","code:outcome","code.ttl"
"127","code:AssumeBodyPosition","  skos:definition","""""","code.ttl"
"128","code:AssumeBodyPosition","  skos:prefLabel","""Assume body position term""","code.ttl"
"129","code:BloodPressure","  rdf:type","owl:Class","code.ttl"
"130","code:BloodPressure","  rdfs:subClassOf","code:VitalSign","code.ttl"
"131","code:BloodPressureOutcome","  rdf:type","owl:Class","code.ttl"
"132","code:BloodPressureOutcome","  rdfs:label","""Blood pressure outcome""","code.ttl"
"133","code:BloodPressureOutcome","  rdfs:subClassOf","code:NumericOutcome","code.ttl"
"134","code:BloodPressureOutcome","  rdfs:subClassOf","code:VitalSignsOutcome","code.ttl"
"135","code:BodyPosition","  rdf:type","owl:Class","code.ttl"
"136","code:BodyPosition","  rdfs:comment","""""","code.ttl"
"137","code:BodyPosition","  rdfs:subClassOf","code:CategoricalOutcome","code.ttl"
"138","code:BodyPosition","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"139","code:BodyPosition","  rdfs:subClassOf","code:InterventionOutcome","code.ttl"
"140","code:BodyPosition","  skos:definition","""""","code.ttl"
"141","code:BodyPosition","  skos:prefLabel","""Body position term""","code.ttl"
"142","code:BodyPosition","  code:isExtensible","""true""^^xsd:boolean","code.ttl"
"143","code:BodyPosition_STANDING","  rdf:type","code:BodyPosition","code.ttl"
"144","code:BodyPosition_STANDING","  rdf:type","mms:PermissibleValue","code.ttl"
"145","code:BodyPosition_STANDING","  skos:altLabel","""PATIENT STANDING""","code.ttl"
"146","code:BodyPosition_STANDING","  skos:prefLabel","""STANDING""","code.ttl"
"147","code:BodyPosition_STANDING","  schema:cdiscDefinition","""The act of assuming or maintaining an erect upright position. (NCI)""","code.ttl"
"148","code:BodyPosition_STANDING","  schema:cdiscSubmissionValue","""STANDING""","code.ttl"
"149","code:BodyPosition_STANDING","  schema:cdiscSynonyms","""Standing""","code.ttl"
"150","code:BodyPosition_STANDING","  schema:nciCode","""C62166""","code.ttl"
"151","code:BodyPosition_STANDING","  schema:nciPreferredTerm","""Standing""","code.ttl"
"152","code:BodyPosition_STANDING","  mms:inValueDomain","sdtmterm:C71148","code.ttl"
"153","code:BodyPosition_SUPINE","  rdf:type","code:BodyPosition","code.ttl"
"154","code:BodyPosition_SUPINE","  rdf:type","mms:PermissibleValue","code.ttl"
"155","code:BodyPosition_SUPINE","  skos:altLabel","""PATIENT SUPINE""","code.ttl"
"156","code:BodyPosition_SUPINE","  skos:prefLabel","""SUPINE""","code.ttl"
"157","code:BodyPosition_SUPINE","  schema:cdiscDefinition","""A posterior recumbent body position whereby the person lies on its back and faces upward. (NCI)""","code.ttl"
"158","code:BodyPosition_SUPINE","  schema:cdiscSubmissionValue","""SUPINE""","code.ttl"
"159","code:BodyPosition_SUPINE","  schema:cdiscSynonyms","""Supine""","code.ttl"
"160","code:BodyPosition_SUPINE","  schema:nciCode","""C62167""","code.ttl"
"161","code:BodyPosition_SUPINE","  schema:nciPreferredTerm","""Supine Position""","code.ttl"
"162","code:BodyPosition_SUPINE","  mms:inValueDomain","sdtmterm:C71148","code.ttl"
"163","code:CategoricalOutcome","  rdf:type","owl:Class","code.ttl"
"164","code:CategoricalOutcome","  rdfs:subClassOf","code:DefinedActivityOutcome","code.ttl"
"165","code:CodeSystem","  rdf:type","owl:Class","code.ttl"
"166","code:CodeSystem","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"167","code:CodeSystem","  skos:prefLabel","""Code system""","code.ttl"
"168","code:CodeSystem_CDISCTerminology","  rdf:type","code:CodeSystem","code.ttl"
"169","code:CodeSystem_CDISCTerminology","  skos:prefLabel","""CDISC""","code.ttl"
"170","code:CodeSystem_DUNS","  rdf:type","code:CodeSystem","code.ttl"
"171","code:CodeSystem_DUNS","  skos:altLabel","""Dun and Bradstreet""","code.ttl"
"172","code:CodeSystem_DUNS","  skos:prefLabel","""DUNS""","code.ttl"
"173","code:CodeSystem_ISO3166","  rdf:type","code:CodeSystem","code.ttl"
"174","code:CodeSystem_ISO3166","  skos:prefLabel","""ISO3166""","code.ttl"
"175","code:CodeSystem_ISO8601","  rdf:type","code:StandardFormat","code.ttl"
"176","code:CodeSystem_ISO8601","  skos:definition","""International Standard for representing date and time information""","code.ttl"
"177","code:CodeSystem_ISO8601","  skos:prefLabel","""ISO8601""","code.ttl"
"178","code:CodeSystem_NDFRT","  rdf:type","code:CodeSystem","code.ttl"
"179","code:CodeSystem_NDFRT","  skos:prefLabel","""ND-FRT""","code.ttl"
"180","code:CodeSystem_SNOMED","  rdf:type","code:CodeSystem","code.ttl"
"181","code:CodeSystem_SNOMED","  skos:prefLabel","""SNOMED""","code.ttl"
"182","code:CodeSystem_UNII","  rdf:type","code:CodeSystem","code.ttl"
"183","code:CodeSystem_UNII","  skos:prefLabel","""UNII""","code.ttl"
"184","<https://w3id.org/phuse/code#CodeSystem_clinicaltrials.gov>","  rdf:type","code:CodeSystem","code.ttl"
"185","<https://w3id.org/phuse/code#CodeSystem_clinicaltrials.gov>","  skos:prefLabel","""clinicaltrials.gov""","code.ttl"
"186","code:ControlType","  rdf:type","owl:Class","code.ttl"
"187","code:ControlType","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"188","code:ControlType","      rdf:type","owl:Restriction","code.ttl"
"189","code:ControlType","      owl:hasValue","code:CodeSystem_CDISCTerminology","code.ttl"
"190","code:ControlType","      owl:onProperty","code:hasCodeSystem","code.ttl"
"191","code:ControlType","  skos:prefLabel","""Control type""","code.ttl"
"192","code:ConversionFactor","  rdf:type","owl:Class","code.ttl"
"193","code:ConversionFactor","  rdfs:comment","""""","code.ttl"
"194","code:ConversionFactor","  skos:definition","""""","code.ttl"
"195","code:ConversionFactor","  skos:prefLabel","""Conversion factor""","code.ttl"
"196","code:ConversionFactor_FtoC","  rdf:type","code:ConversionFactor","code.ttl"
"197","code:ConversionFactor_FtoC","  skos:prefLabel","""F2C""","code.ttl"
"198","code:ConversionFactor_FtoC","  code:hasOriginalUnit","code:Unit_F","code.ttl"
"199","code:ConversionFactor_FtoC","  code:hasStandardUnit","code:Unit_C","code.ttl"
"200","code:ConversionFactor_bpm2bpm","  rdf:type","code:ConversionFactor","code.ttl"
"201","code:ConversionFactor_bpm2bpm","  rdfs:comment","""""","code.ttl"
"202","code:ConversionFactor_bpm2bpm","  skos:definition","""""","code.ttl"
"203","code:ConversionFactor_bpm2bpm","  skos:prefLabel","""bpm2bpm""","code.ttl"
"204","code:ConversionFactor_bpm2bpm","  code:hasConversionFactor","""1""^^xsd:float","code.ttl"
"205","code:ConversionFactor_bpm2bpm","  code:hasOriginalUnit","code:Unit_BEATS_MIN","code.ttl"
"206","code:ConversionFactor_bpm2bpm","  code:hasStandardUnit","code:Unit_BEATS_MIN","code.ttl"
"207","code:ConversionFactor_in2cm","  rdf:type","code:ConversionFactor","code.ttl"
"208","code:ConversionFactor_in2cm","  rdfs:comment","""""","code.ttl"
"209","code:ConversionFactor_in2cm","  skos:definition","""""","code.ttl"
"210","code:ConversionFactor_in2cm","  skos:prefLabel","""in2cm""","code.ttl"
"211","code:ConversionFactor_in2cm","  code:hasConversionFactor","""2.54""^^xsd:float","code.ttl"
"212","code:ConversionFactor_in2cm","  code:hasOriginalUnit","code:Unit_IN","code.ttl"
"213","code:ConversionFactor_in2cm","  code:hasStandardUnit","code:Unit_cm","code.ttl"
"214","code:ConversionFactor_lb2kg","  rdf:type","code:ConversionFactor","code.ttl"
"215","code:ConversionFactor_lb2kg","  rdfs:comment","""""","code.ttl"
"216","code:ConversionFactor_lb2kg","  skos:definition","""""","code.ttl"
"217","code:ConversionFactor_lb2kg","  skos:prefLabel","""lb2kg""","code.ttl"
"218","code:ConversionFactor_lb2kg","  code:hasConversionFactor","""0.4545""^^xsd:float","code.ttl"
"219","code:ConversionFactor_lb2kg","  code:hasOriginalUnit","code:Unit_LB","code.ttl"
"220","code:ConversionFactor_lb2kg","  code:hasStandardUnit","code:Unit_kg","code.ttl"
"221","code:ConversionFactor_mmHGtommHG","  rdf:type","code:ConversionFactor","code.ttl"
"222","code:ConversionFactor_mmHGtommHG","  rdfs:comment","""""","code.ttl"
"223","code:ConversionFactor_mmHGtommHG","  skos:definition","""""","code.ttl"
"224","code:ConversionFactor_mmHGtommHG","  skos:prefLabel","""mm hg2mm hg""","code.ttl"
"225","code:ConversionFactor_mmHGtommHG","  code:hasConversionFactor","""1""^^xsd:float","code.ttl"
"226","code:ConversionFactor_mmHGtommHG","  code:hasOriginalUnit","code:Unit_mmHG","code.ttl"
"227","code:ConversionFactor_mmHGtommHG","  code:hasStandardUnit","code:Unit_mmHG","code.ttl"
"228","code:Country","  rdf:type","owl:Class","code.ttl"
"229","code:Country","  rdfs:comment","""""","code.ttl"
"230","code:Country","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"231","code:Country","  skos:definition","""""","code.ttl"
"232","code:Country","  skos:prefLabel","""COUNTRY""","code.ttl"
"233","code:Country_1","  rdf:type","code:Country","code.ttl"
"234","code:Country_1","  rdfs:comment","""""","code.ttl"
"235","code:Country_1","  skos:definition","""""","code.ttl"
"236","code:Country_1","  skos:prefLabel","""USA""","code.ttl"
"237","code:Country_1","  code:hasCode","""USA""","code.ttl"
"238","code:Country_1","  code:hasCodeSystem","code:CodeSystem_ISO3166","code.ttl"
"239","code:DefinedActivity","  rdf:type","owl:Class","code.ttl"
"240","code:DefinedActivity","  rdfs:comment","""""","code.ttl"
"241","code:DefinedActivity","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"242","code:DefinedActivity","  skos:definition","""""","code.ttl"
"243","code:DefinedActivity","  skos:prefLabel","""Activity term""","code.ttl"
"244","code:DefinedActivityOutcome","  rdf:type","owl:Class","code.ttl"
"245","code:DefinedActivityOutcome","  rdfs:comment","""""","code.ttl"
"246","code:DefinedActivityOutcome","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"247","code:DefinedActivityOutcome","  skos:definition","""""","code.ttl"
"248","code:DefinedActivityOutcome","  skos:prefLabel","""Activity outcome term""","code.ttl"
"249","code:DefinedConcept","  rdf:type","owl:Class","code.ttl"
"250","code:DefinedConcept","  rdfs:comment","""""","code.ttl"
"251","code:DefinedConcept","  rdfs:subClassOf","owl:Thing","code.ttl"
"252","code:DefinedConcept","  skos:definition","""""","code.ttl"
"253","code:DefinedConcept","  skos:prefLabel","""Controlled Terminology""","code.ttl"
"254","code:DemographicData","  rdf:type","owl:Class","code.ttl"
"255","code:DemographicData","  rdfs:label","""Demographic data""","code.ttl"
"256","code:DemographicData","  rdfs:subClassOf","code:ObservationOutcome","code.ttl"
"257","code:DemographicDataCollection","  rdf:type","owl:Class","code.ttl"
"258","code:DemographicDataCollection","  rdfs:comment","""""","code.ttl"
"259","code:DemographicDataCollection","  rdfs:subClassOf","code:Observation","code.ttl"
"260","code:DemographicDataCollection","  skos:definition","""""","code.ttl"
"261","code:DemographicDataCollection","  skos:prefLabel","""DEMOG DATA COLLECTION""","code.ttl"
"262","code:DiastolicBloodPressure","  rdf:type","owl:Class","code.ttl"
"263","code:DiastolicBloodPressure","  rdf:type","mms:PermissibleValue","code.ttl"
"264","code:DiastolicBloodPressure","  rdfs:subClassOf","code:BloodPressure","code.ttl"
"265","code:DiastolicBloodPressure","      rdf:type","owl:Restriction","code.ttl"
"266","code:DiastolicBloodPressure","      owl:allValuesFrom","code:DiastolicBloodPressureOutcome","code.ttl"
"267","code:DiastolicBloodPressure","      owl:onProperty","code:outcome","code.ttl"
"268","code:DiastolicBloodPressure","      rdf:type","owl:Restriction","code.ttl"
"269","code:DiastolicBloodPressure","      owl:hasValue","""DIABP""","code.ttl"
"270","code:DiastolicBloodPressure","      owl:onProperty","skos:prefLabel","code.ttl"
"271","code:DiastolicBloodPressure","      rdf:type","owl:Restriction","code.ttl"
"272","code:DiastolicBloodPressure","      owl:hasValue","""Diastolic Blood Pressure""","code.ttl"
"273","code:DiastolicBloodPressure","      owl:onProperty","skos:altLabel","code.ttl"
"274","code:DiastolicBloodPressure","  skos:prefLabel","""Diastolic Blood Pressure""","code.ttl"
"275","code:DiastolicBloodPressure","  schema:cdiscDefinition","""The blood pressure after the contraction of the heart while the chambers of the heart refill with blood. (NCI)""","code.ttl"
"276","code:DiastolicBloodPressure","  schema:cdiscSubmissionValue","""Diastolic Blood Pressure""","code.ttl"
"277","code:DiastolicBloodPressure","  schema:cdiscSynonyms","""Diastolic Blood Pressure""","code.ttl"
"278","code:DiastolicBloodPressure","  schema:nciCode","""C25299""","code.ttl"
"279","code:DiastolicBloodPressure","  schema:nciPreferredTerm","""Diastolic Blood Pressure""","code.ttl"
"280","code:DiastolicBloodPressure","  mms:inValueDomain","sdtmterm:C67153","code.ttl"
"281","code:DiastolicBloodPressureOutcome","  rdf:type","owl:Class","code.ttl"
"282","code:DiastolicBloodPressureOutcome","  rdfs:label","""Diastolic blood pressure outcome""","code.ttl"
"283","code:DiastolicBloodPressureOutcome","  rdfs:subClassOf","code:BloodPressureOutcome","code.ttl"
"284","code:DosageForm","  rdf:type","owl:Class","code.ttl"
"285","code:DosageForm","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"286","code:DosageForm","  skos:prefLabel","""Dosage form""","code.ttl"
"287","code:DosageForm_PATCH","  rdf:type","code:DosageForm","code.ttl"
"288","code:DosageForm_PATCH","  rdf:type","mms:PermissibleValue","code.ttl"
"289","code:DosageForm_PATCH","  skos:prefLabel","""PATCH""","code.ttl"
"290","code:DosageForm_PATCH","  schema:cdiscDefinition","""A drug delivery system that often contains an adhesive backing that is usually applied to an external site on the body. Its ingredients either passively diffuse from, or are actively transported from, some portion of the patch. Depending upon the patch, the ingredients are either delivered to the outer surface of the body or into the body. A patch is sometimes synonymous with the terms Extended Release Film and System.""","code.ttl"
"291","code:DosageForm_PATCH","  schema:cdiscSubmissionValue","""PATCH""","code.ttl"
"292","code:DosageForm_PATCH","  schema:nciCode","""C42968""","code.ttl"
"293","code:DosageForm_PATCH","  schema:nciPreferredTerm","""Patch Dosage Form""","code.ttl"
"294","code:DosageForm_PATCH","  mms:inValueDomain","sdtmterm:C66726","code.ttl"
"295","code:DosageFrequency","  rdf:type","owl:Class","code.ttl"
"296","code:DosageFrequency","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"297","code:DosageFrequency","  skos:prefLabel","""Dosage frequency""","code.ttl"
"298","code:DrugProduct","  rdf:type","owl:Class","code.ttl"
"299","code:DrugProduct","  rdfs:subClassOf","code:Product","code.ttl"
"300","code:DrugProduct","  skos:prefLabel","""Drug product""","code.ttl"
"301","code:Epoch","  rdf:type","owl:Class","code.ttl"
"302","code:Epoch","  rdfs:subClassOf","code:DefinedActivity","code.ttl"
"303","code:Epoch","  skos:prefLabel","""EPOCH""","code.ttl"
"304","code:Ethnicity","  rdf:type","owl:Class","code.ttl"
"305","code:Ethnicity","  rdfs:comment","""""","code.ttl"
"306","code:Ethnicity","  rdfs:subClassOf","code:DefinedConcept","code.ttl"
"307","code:Ethnicity","  rdfs:subClassOf","code:DemographicData","code.ttl"
"308","code:Ethnicity","  skos:definition","""""","code.ttl"
"309","code:Ethnicity","  skos:prefLabel","""ETHNIC""","code.ttl"
"310","code:Ethnicity","  code:isExtensible","""false""^^xsd:boolean","code.ttl"
"311","code:EthnicityDataCollection","  rdf:type","owl:Class","code.ttl"
"312","code:EthnicityDataCollection","  rdfs:subClassOf","code:DemographicDataCollection","code.ttl"
"313","code:EthnicityDataCollection","      rdf:type","owl:Restriction","code.ttl"
"314","code:EthnicityDataCollection","      owl:allValuesFrom","code:Ethnicity","code.ttl"
"315","code:EthnicityDataCollection","      owl:onProperty","code:outcome","code.ttl"
"316","code:EthnicityDataCollection","      rdf:type","owl:Restriction","code.ttl"
"317","code:EthnicityDataCollection","      owl:cardinality","""1""^^xsd:nonNegativeInteger","code.ttl"
"318","code:EthnicityDataCollection","      owl:onProperty","code:outcome","code.ttl"
"319","code:Ethnicity_HISPANIC_OR_LATINO","  rdf:type","code:Ethnicity","code.ttl"
"320","code:Ethnicity_HISPANIC_OR_LATINO","  skos:altLabel","""""","code.ttl"
"321","code:Ethnicity_HISPANIC_OR_LATINO","  skos:prefLabel","""HISPANIC OR LATINO""","code.ttl"
"322","code:Ethnicity_NOT_HISPANIC_OR_LATINO","  rdf:type","code:Ethnicity","code.ttl"
"323","code:Ethnicity_NOT_HISPANIC_OR_LATINO","  skos:altLabel","""""","code.ttl"
"324","code:Ethnicity_NOT_HISPANIC_OR_LATINO","  skos:prefLabel","""NOT HISPANIC OR LATINO""","code.ttl"
"325","code:Ethnicity_NOT_REPORTED","  rdf:type","code:Ethnicity","code.ttl"
"326","code:Ethnicity_NOT_REPORTED","  skos:altLabel","""""","code.ttl"
"327","code:Ethnicity_NOT_REPORTED","  skos:prefLabel","""NOT REPORTED""","code.ttl"
"328","code:Ethnicity_UNKNOWN","  rdf:type","code:Ethnicity","code.ttl"
"329","code:Ethnicity_UNKNOWN","  skos:altLabel","""""","code.ttl"
"330","code:Ethnicity_UNKNOWN","  skos:prefLabel","""UNKNOWN""","code.ttl"
"331","code:ExDosFrq_QD","  rdf:type","code:DosageFrequency","code.ttl"
"332","code:ExDosFrq_QD","  skos:altLabel","""daily""","code.ttl"
"333","code:ExDosFrq_QD","  skos:prefLabel","""QD""","code.ttl"
"334","code:ExRoute_ORAL","  rdf:type","code:RouteOfAdministration","code.ttl"
"335","code:ExRoute_ORAL","  owl:sameAs","<https://w3id.org/phuse/sdtmterm#C66729.C38288>","code.ttl"
"336","code:ExRoute_ORAL","  skos:altLabel","""""","code.ttl"
"337","code:ExRoute_ORAL","  skos:prefLabel","""ORAL""","code.ttl"
"338","code:ExRoute_ORAL","  code:hasCode","""C38288""","code.ttl"
"339","code:ExRoute_ORAL","  code:hasCodeSystem","code:CodeSystem_CDISCTerminology","code.ttl"
"340","code:ExRoute_TRANSDERMAL","  rdf:type","code:RouteOfAdministration","code.ttl"
"341","code:ExRoute_TRANSDERMAL","  owl:sameAs","<https://w3id.org/phuse/sdtmterm#C66729.C38305>","code.ttl"
"342","code:ExRoute_TRANSDERMAL","  skos:altLabel","""""","code.ttl"
"343","code:ExRoute_TRANSDERMAL","  skos:prefLabel","""TRANSDERMAL""","code.ttl"
"344","code:ExRoute_TRANSDERMAL","  code:hasCode","""C38305""","code.ttl"
