"actsub","adapt","addon","adminact_im","agemax","agemin","agespan","agespan_iri_im","altlbl_im","arm_im","dcutdesc","dcutdtc","dose","dosfrq","dosu","epoch_im","fcntry","hltsubji","indic","intmodel","inttype","lbl_im","length","narms","objprim","objprim_seq_im","objsec","objsec_seq_im","outmspri","pclas","plansub","preflbl_im","random","regid","route","sendtc","sexpop","siteid_im","sponsor","sstdtc","stoprule","studyid","stype","tblind","tblind_im","tcntrl","tdigrp","tindtp","title","tphase","trt","tsparm","tsseq","tsvalcd","tsvalnf","tsvcdref","tsvcdref_iri_im","tsvcdver","ttype","type_im","type2_im"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"701",,,,"CDISCPILOT01",,,,,,,,,,"Site ID","1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015-03-05",,,,,,"CDISCPILOT01",,,,,,,,,,"Study End Date","1","","","ISO 8601","ISO8601","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012-07-06",,"CDISCPILOT01",,,,,,,,,,"Study Start Date","1","","","ISO 8601","ISO8601","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last patient completed last visit or sponsor decided to discontinue study","CDISCPILOT01",,,,,,,,,,"Study Stop Rules","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01","INTERVENTIONAL",,,,,,,,,"Study Type","1","C98388","","CDISC","CDISC","",,,
,,,,,,,,"Pbo","Pbo",,,,,,,,,,,,,,,,,,,,,,"Placebo",,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Treatment Arm","1","Pbo",,,,,,"ControlArm","RandomizationOutcome"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,"DOUBLE BLIND","DOUBLE_BLIND",,,,,,,"Trial Blinding Schema","1","","","","","",,,
,,,,,,,,,,,,,,,,,,"Alzheimer's Disease (Disorder)",,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Indication","1","26929004","","SNOMED","SNOMED","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,"TREATMENT",,,,"Trial Indication Type","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,"P26W",,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Length","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,"PHASE II TRIAL",,"Trial Phase Classification","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,"To determine if there is a statistically significant relationship between the change in both ADAS-Cog and CIBIC+ scores, and drug dose (0, 50 cm2 [54 mg], and 75 cm2 [81 mg])","1",,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Primary Objective","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"To assess the dose-dependent improvement in behavior. Improved scores on the Revised Neuropsychiatric Inventory (NPI-X) will indicate improvement in these areas.","1",,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Secondary Objective","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,"Safety and Efficacy of the Xanomeline Transdermal Therapeutic System (TTS) in Patients with Mild to Moderate Alzheimer’s Disease.",,,"Trial Title","1","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Type","1","","","","","","SAFETY",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial is Randomized","1","","","","","",,,
,,,,,,"ELDERLY (> 65)","ELDERLY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Age Group","2","","","","","",,,
,,,,,,,,,,,,"81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Dose per Administration","2","","","","","",,,
,,,,,,,,"Scrnfail","ScreenFailure",,,,,,,,,,,,,,,,,,,,,,"Screen Failure",,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Treatment Arm","2","ScreenFailure",,,,,,"FalseArm",
,,,,,,,,,,,,,,,,,,,,,,,,"To document the safety profile of the xanomeline TTS.","2",,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Primary Objective","2","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"To assess the dose-dependent improvements in activities of daily living. Improved scores on the Disability Assessment for Dementia (DAD) will indicate improvement in these areas.","2",,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Secondary Objective","2","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Type","2","","","","","","EFFICACY",,
,,,,,,,,"Xan_Hi","XanolemineHigh",,,,,,,,,,,,,,,,,,,,,,"Xanomeline High",,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Treatment Arm","3","XanolemineHigh",,,,,,"InvestigationalArm","RandomizationOutcome"
,,,,,,,,,,,,,,,,,,,,,,,,"Evaluate the efficacy and safety of transdermal xanomeline, 50cm2 and 75cm2, and placebo in subjects with mild to moderate Alzheimers disease.","3",,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Primary Objective","3",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"To assess the dose-dependent improvements in an extended assessment of cognition that integrates attention/concentration tasks. The ADAS-Cog (14) will be used for this assessment.","3",,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Secondary Objective","3","","","","","",,,
,,,,,,,,"Xan_Low","XanolemineLow",,,,,,,,,,,,,,,,,,,,,,"Xanomeline Low",,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Treatment Arm","4","XanolemineLow",,,,,,"InvestigationalArm","RandomizationOutcome"
,,,,,,,,,,,,,,,,,,,,,,,,,,"To assess the treatment response as a function of Apo E genotype.","4",,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Secondary Objective","4","","","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDISCPILOT01",,,,,,,,,,"Trial Type","4","","","","","","PHARMACOKINETIC",,
